GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.exception,SondageCloturedException,0,4,0,0,0,2,0,1,0,1
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.exception,DateSondageAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.exception,NoUpdateException,0,4,0,0,0,2,0,1,0,1
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.exception,DateSondeeAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.utils,StringUtils,0,9,1,3,0,1,1,2,0,1
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,SondageDto,37,96,7,9,1,22,8,15,1,14
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,CommentaireDto,21,58,3,7,1,13,4,10,1,8
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondeeDto,22,57,4,6,1,13,5,9,1,8
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,ParticipantDto,30,57,4,6,2,13,6,9,2,8
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondageDto,17,44,3,5,1,10,4,7,1,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey,MySurveyApplication,8,0,0,0,3,0,2,0,2,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Commentaire,67,55,10,4,4,17,8,11,2,10
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Sondage,56,60,0,0,16,22,5,13,5,13
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondage,38,28,0,0,11,10,5,5,5,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Participant,74,109,6,10,12,20,11,14,5,12
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondee,38,30,0,0,10,11,5,5,5,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Choix,0,21,0,0,0,2,0,1,0,1
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,SondageService,16,85,4,10,0,21,4,10,0,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondeeService,14,65,2,6,4,14,2,7,1,4
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,CommentaireService,5,115,1,11,1,26,1,12,0,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,ParticipantService,5,84,3,7,1,21,3,9,0,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondageService,36,74,6,8,8,17,5,9,1,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,DateSondageController,0,122,0,4,0,28,0,7,0,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,CommentaireController,6,186,1,7,1,41,1,9,0,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,SondageController,122,151,8,10,25,31,7,11,0,9
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,ParticipationController,20,54,2,2,4,11,2,2,0,2
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,ParticipantController,90,101,5,5,19,19,4,8,0,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.configurations,ModelMapperConfig,155,0,0,0,26,0,16,0,16,0
