GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,SondageDto,132,0,16,0,24,0,23,0,15,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,CommentaireDto,78,0,10,0,15,0,14,0,9,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondeeDto,78,0,10,0,15,0,14,0,9,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,ParticipantDto,86,0,10,0,16,0,15,0,10,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.dtos,DateSondageDto,60,0,8,0,12,0,11,0,7,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey,MySurveyApplication,8,0,0,0,3,0,2,0,2,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Commentaire,10,31,0,0,4,11,3,6,3,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Sondage,77,39,0,0,25,13,11,7,11,7
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondage,46,20,0,0,15,6,7,3,7,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Participant,155,27,15,1,26,7,22,3,14,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,DateSondee,47,21,0,0,14,7,7,3,7,3
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.models,Choix,21,0,0,0,2,0,1,0,1,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,SondageService,0,62,0,4,0,16,0,8,0,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondeeService,2,48,1,1,1,12,1,4,0,4
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,CommentaireService,0,66,0,4,0,17,0,7,0,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,ParticipantService,0,53,0,4,0,14,0,8,0,6
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.services,DateSondageService,0,46,0,2,0,12,0,6,0,5
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,DateSondageController,40,0,0,0,10,0,3,0,3,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,CommentaireController,35,0,0,0,9,0,3,0,3,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,SondageController,191,0,0,0,37,0,15,0,15,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,WebController,5,0,0,0,2,0,2,0,2,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.controllers,ParticipantController,86,0,0,0,16,0,7,0,7,0
MySurvey,fr.univ.lorraine.ufr.mim.m2.gi.mysurvey.configurations,ModelMapperConfig,155,0,0,0,26,0,16,0,16,0
